"","lon","lat"
"434",-91.2627227,43.8621795
"435",-91.2624408,43.8621267
"436",-91.2621212,43.8621488
"437",-91.2618581,43.8621517
"438",-91.2615385,43.8621366
"439",-91.2610686,43.8621231
"440",-91.2606927,43.8621645
"441",-91.260283,43.862149
"442",-91.2619145,43.8625802
"443",-91.2613881,43.862586
"444",-91.2613881,43.8628098
"445",-91.2619333,43.863009
"446",-91.2614069,43.8630148
"447",-91.2614069,43.8632387
"448",-91.2619145,43.863401
"449",-91.2614445,43.8634248
"450",-91.2614069,43.8636491
"451",-91.2618957,43.8636064
"452",-91.262516,43.8625736
"453",-91.2625348,43.8627786
"454",-91.2624972,43.8630028
"455",-91.262516,43.8632451
"456",-91.2624408,43.8634698
"457",-91.262516,43.8636929
"458",-91.2613318,43.864023
"459",-91.261313,43.8643031
"460",-91.2613694,43.864433
"461",-91.2613318,43.8646573
"462",-91.2613694,43.8648807
"463",-91.2613318,43.865105
"464",-91.261337,43.865349
"465",-91.2613346,43.8653522
"466",-91.2698047,43.8687789
"467",-91.2651477,43.8682155
"468",-91.26652,43.8681817
"469",-91.2694527,43.8673658
"470",-91.2687759,43.8659929
"471",-91.2687759,43.8665525
"472",-91.2688323,43.8676525
"473",-91.2681555,43.867063
"474",-91.2681555,43.8662423
"475",-91.2682119,43.8656634
"476",-91.2675539,43.867592
"477",-91.2629859,43.8625497
"478",-91.2630235,43.8627732
"479",-91.267435,43.871244
"480",-91.2629483,43.8629606
"481",-91.2629859,43.8632959
"482",-91.2635498,43.8626181
"483",-91.2674035,43.8708019
"484",-91.265001,43.862453
"485",-91.263625,43.8621696
"486",-91.2679111,43.8632789
"487",-91.2673847,43.8645532
"488",-91.2681743,43.8649922
"489",-91.2683999,43.8651017
"490",-91.2684375,43.8646535
"491",-91.2694527,43.8628141
"492",-91.2690391,43.8641245
"493",-91.2694903,43.8645673
"494",-91.2667267,43.8708094
"495",-91.2655612,43.8598162
"496",-91.2636438,43.8599493
"497",-91.2610498,43.8601644
"498",-91.2635686,43.8550992
"499",-91.2619333,43.8545015
"500",-91.2604295,43.8535105
"501",-91.2613318,43.851448
"502",-91.2659287,43.8494021
"503",-91.266614,43.85264
"504",-91.2658244,43.8696256
"505",-91.2668019,43.8692418
"506",-91.265204,43.8692035
"507",-91.2652228,43.8694084
"508",-91.2652228,43.8697069
"509",-91.2652228,43.8699307
"510",-91.2652228,43.8701545
