"","SampleNumber","Well_Type","Parcel_ID","Site_Address","SampleID","Field.Duplicate..Y.N.","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTriA","PFTeA","PFHxDA","PFODA","PFBS","PFPeS","PFHxS","PFHpS","PFOS","PFNS","PFDS","PFDoS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X10.2.FTSA","FOSA","NMeFOSA","NEtFOSA","NMeFOSAA","NEtFOSAA","NMeFOSE","NEtFOSE","HFPO.DA","DONA","X9Cl.PF3ONS","X11Cl.PF3OUdS","SUM_PFOS_PFOA","SUM_FOSA_NEtFOSE_NEtFOSA_NetFOSAA_PFOS_PFOA","Exceedance_RES","Exceedance_PAL","HI","No_Detections","X","Latitude","Longitude"
"445","368-0","OS Group Sample","4-00368-001","2510 2ND AVENUE W","","",4.2,1.3,2,1.7,6.1,-999,-999,-999,-999,-999,-999,-999,-999,1.1,-999,2,-999,3.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,10,"N","",0.6,"N",NA,43.863009,-91.2619333
"446","369-0","OS Group Sample","4-00369-000","2511 1ST AVENUE W","","",46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.7,4.3,10,-999,6.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.2,6.2,"N","",0.6,"N",NA,43.8630148,-91.2614069
"447","370-0","OS Group Sample","4-00370-000","2515 1ST AVENUE W","","",6.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.9,-999,3.9,-999,1.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.8,1.8,"N","",0.2,"N",NA,43.8632387,-91.2614069
"448","372-0","OS Group Sample","4-00372-000","2518 2ND AVENUE W","","",2.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0,"N",NA,43.863401,-91.2619145
"449","373-0","OS Group Sample","4-00373-000","2519 1ST AVENUE W","","",4.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1.2,2.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0.1,"N",NA,43.8634248,-91.2614445
"450","374-0","OS Group Sample","4-00374-000","2523 1ST AVENUE W","","",8.9,-999,-999,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,2.2,1.6,4,-999,4.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.6,5.6,"N","",0.4,"N",NA,43.8636491,-91.2614069
"451","375-0","OS Group Sample","4-00375-000","2522 2ND AVENUE W","","",3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"N","",0.1,"N",NA,43.8636064,-91.2618957
"452","376-0","OS Group Sample","4-00376-000","2503 2ND AVENUE W","","",36,-999,-999,-999,1.8,-999,-999,-999,-999,-999,-999,-999,-999,4.4,3,5.6,-999,4.7,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.5,7.5,"N","",0.5,"N",NA,43.8625736,-91.262516
"453","377-0","OS Group Sample","4-00377-000","2507 2ND AVENUE W","","",60,-999,-999,-999,5.8,-999,-999,-999,-999,-999,-999,-999,-999,6,4.9,9,-999,-999,-999,-999,-999,-999,4.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.8,5.8,"N","",0.5,"N",NA,43.8627786,-91.2625348
"454","378-0","OS Group Sample","4-00378-000","2511 2ND AVENUE W","","",35,-999,-999,-999,1.2,-999,-999,-999,-999,-999,-999,-999,-999,1.6,1.1,3.5,-999,2.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.9,3.9,"N","",0.3,"N",NA,43.8630028,-91.2624972
"455","379-0","OS Group Sample","4-00379-000","2515 2ND AVENUE W","","",16,-999,-999,-999,2.3,-999,-999,-999,-999,-999,-999,-999,-999,1.5,-999,3.5,-999,5.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8,7.8,"N","",0.5,"N",NA,43.8632451,-91.262516
